;NUMBER OF FLOORS (TABULA);;;;GFA (TABULA);;;;REFERENCE FLOOR AREA (TABULA);;;
Construction year;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB
<1859;2.561403509;0;3.895281933;0;85.5;0;173.8;0;219;0;677;0
1860-1918;1.813537676;1.6;3.035019455;5.064141723;78.3;60;102.8;163.7;142;96;312;829
1919-1948;2.091097308;2.242063492;2.429022082;3.751263903;144.9;50.4;158.5;395.6;303;113;385;1484
1949-1957;1.389236546;1.84729064;1.78028169;4.534653465;79.9;81.2;355;353.5;111;150;632;1603
1958-1968;1.044905009;2.532467532;3.222451081;8.464721254;115.8;46.2;971;459.2;121;117;3129;3887
1969-1978;1.135915955;1.740558292;2.164282418;6.151851852;152.3;60.9;216.7;540;173;106;469;3322
1979-1983;2.589928058;1.479452055;2.633910592;0;83.4;73;248.3;0;216;108;654;0
1984-1994;1.992031873;2.281639929;3.119486768;0;75.3;56.1;249.4;0;150;128;778;0
1995-2001;1.447212337;2.870905588;2.943249912;0;84.3;51.9;283.7;0;122;149;835;0
2002-2009;1.842105263;2.149929279;3.535108959;0;79.8;70.7;619.5;0;147;152;2190;0
>2011;1.70;2.90;4.07;0.00;107.8;67.8;321.1;0;187;196;1305;0
