;ROOF;;;;WALL;;;;FLOOR;;;;WINDOW;;;;DOOR;;;;THERMAL BRIDGE;;;
Construction year;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB
<1859;0.14;0;0.14;0;0.14;0;0.14;0;0.27;0;0.22;0;0.8;0;0.8;0;0.8;0;0.8;0;0.05;0;0.05;0
1860-1918;0.14;0.1;0.14;0.14;0.13;0.13;0.14;0.13;0.22;0.22;0.22;0.22;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.05;0.05;0.05;0.05
1919-1948;0.14;0.1;0.14;0.1;0.13;0.13;0.13;0.13;0.21;0.21;0.21;0.21;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.05;0.05;0.05;0.05
1949-1957;0.14;0.1;0.11;0.11;0.13;0.13;0.13;0.13;0.21;0.24;0.24;0.24;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.05;0.05;0.05;0.05
1958-1968;0.14;0.09;0.09;0.09;0.13;0.13;0.13;0.13;0.23;0.23;0.23;0.23;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.05;0.05;0.05;0.05
1969-1978;0.09;0.09;0.09;0.09;0.13;0.13;0.13;0.13;0.21;0.21;0.21;0.21;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.05;0.05;0.05;0.05
1979-1983;0.14;0.14;0.09;0;0.12;0.12;0.12;0;0.2;0.2;0.2;0;0.8;0.8;0.8;0;0.8;0.8;0.8;0;0.05;0.05;0.05;0
1984-1994;0.14;0.14;0.09;0;0.11;0.11;0.12;0;0.19;0.19;0.19;0;0.8;0.8;0.8;0;0.8;0.8;0.8;0;0.05;0.05;0.05;0
1995-2001;0.14;0.14;0.11;0;0.14;0.14;0.14;0;0.17;0.17;0.17;0;0.8;0.8;0.8;0;0.8;0.8;0.8;0;0.05;0.05;0.05;0
2002-2009;0.14;0.14;0.14;0;0.14;0.15;0.14;0;0.17;0.17;0.17;0;0.8;0.8;0.8;0;0.8;0.8;0.8;0;0.05;0.05;0.05;0
