TABULA TYPOLOGY;;;;;;;;
bid;area [m2];use;free_walls;lat [deg];lon [deg];dist2hp [m];construction year class;building type
1;85.5;3;4;48.13;11.6;0;0;0
2;78.3;3;4;48.13;11.6;0;1;0
3;144.9;3;4;48.13;11.6;0;2;0
4;79.9;3;4;48.13;11.6;0;3;0
5;115.8;3;4;48.13;11.6;0;4;0
6;152.3;3;4;48.13;11.6;0;5;0
7;83.4;3;4;48.13;11.6;0;6;0
8;75.3;3;4;48.13;11.6;0;7;0
9;84.3;3;4;48.13;11.6;0;8;0
10;79.8;3;4;48.13;11.6;0;9;0
11;60;3;3;48.13;11.6;0;1;1
12;50.4;3;3;48.13;11.6;0;2;1
13;81.2;3;3;48.13;11.6;0;3;1
14;46.2;3;3;48.13;11.6;0;4;1
15;60.9;3;3;48.13;11.6;0;5;1
16;73;3;3;48.13;11.6;0;6;1
17;56.1;3;3;48.13;11.6;0;7;1
18;51.9;3;3;48.13;11.6;0;8;1
19;70.7;3;3;48.13;11.6;0;9;1
20;173.8;3;4;48.13;11.6;0;0;2
21;102.8;3;4;48.13;11.6;0;1;2
22;158.5;3;4;48.13;11.6;0;2;2
23;355;3;4;48.13;11.6;0;3;2
24;971;3;4;48.13;11.6;0;4;2
25;216.7;3;4;48.13;11.6;0;5;2
26;248.3;3;4;48.13;11.6;0;6;2
27;249.4;3;4;48.13;11.6;0;7;2
28;283.7;3;4;48.13;11.6;0;8;2
29;619.5;3;4;48.13;11.6;0;9;2
30;163.7;3;4;48.13;11.6;0;1;3
31;395.6;3;4;48.13;11.6;0;2;3
32;353.5;3;4;48.13;11.6;0;3;3
33;459.2;3;4;48.13;11.6;0;4;3
34;540;3;4;48.13;11.6;0;5;3
