PROBABILITY DISTRIBUTION OF DHW-LOAD DURING THE DAY;;;
Hour;Shower {0.8};Bath {*0.5};Medium/Small {*2}
0;0.008;0.005;0.02
0.2;0.008;0.005;0.02
0.4;0.008;0.005;0.02
0.6;0.008;0.005;0.02
0.8;0.008;0.005;0.02
1;0.008;0.005;0.02
1.2;0.008;0.005;0.02
1.4;0.008;0.005;0.02
1.6;0.008;0.005;0.02
1.8;0.008;0.005;0.02
2;0.008;0.005;0.02
2.2;0.008;0.005;0.02
2.4;0.008;0.005;0.02
2.6;0.008;0.005;0.02
2.8;0.008;0.005;0.02
3;0.008;0.005;0.02
3.2;0.008;0.005;0.02
3.4;0.008;0.005;0.023
3.6;0.008;0.005;0.0274
3.8;0.008;0.005;0.0322
4;0.008;0.005;0.0376
4.2;0.008;0.005;0.0436
4.4;0.008;0.005;0.0498
4.6;0.008;0.005;0.0564
4.8;0.01008;0.005;0.0634
5;0.01696;0.005;0.0704
5.2;0.02704;0.005;0.0774
5.4;0.0412;0.005;0.0842
5.6;0.05968;0.005;0.0908
5.8;0.08224;0.005;0.0968
6;0.10792;0.005;0.1024
6.2;0.13472;0.005;0.107
6.4;0.16016;0.005;0.1108
6.6;0.1812;0.005;0.1138
6.8;0.19512;0.005;0.1154
7;0.2;0.005;0.1184
7.2;0.19512;0.005;0.1184
7.4;0.1812;0.005;0.1186
7.6;0.16016;0.00545;0.1188
7.8;0.13472;0.0059;0.1188
8;0.10792;0.0064;0.119
8.2;0.08224;0.0069;0.119
8.4;0.05968;0.00745;0.1192
8.6;0.0412;0.008;0.1192
8.8;0.02704;0.0086;0.1194
9;0.01696;0.00925;0.1194
9.2;0.01592;0.0099;0.1194
9.4;0.01624;0.01055;0.1196
9.6;0.01664;0.0113;0.1196
9.8;0.01696;0.012;0.1196
10;0.01728;0.01275;0.1198
10.2;0.0176;0.0135;0.1198
10.4;0.01784;0.0143;0.1198
10.6;0.01816;0.0151;0.1198
10.8;0.0184;0.0159;0.12
11;0.01864;0.0167;0.12
11.2;0.01888;0.01755;0.12
11.4;0.01904;0.0184;0.12
11.6;0.01928;0.0192;0.12
11.8;0.01944;0.02005;0.12
12;0.0196;0.0209;0.12
12.2;0.01968;0.0217;0.12
12.4;0.01984;0.0225;0.12
12.6;0.01992;0.0233;0.12
12.8;0.01992;0.02405;0.12
13;0.02;0.0248;0.12
13.2;0.02;0.02555;0.12
13.4;0.02;0.02625;0.1198
13.6;0.02;0.0269;0.1198
13.8;0.01992;0.0275;0.1198
14;0.01984;0.0281;0.1198
14.2;0.01976;0.0286;0.1196
14.4;0.0196;0.0291;0.1196
14.6;0.01952;0.02955;0.1196
14.8;0.01936;0.0299;0.1194
15;0.0192;0.03025;0.1194
15.2;0.01896;0.0305;0.1194
15.4;0.01872;0.03075;0.1192
15.6;0.01856;0.0309;0.1192
15.8;0.01824;0.03095;0.119
16;0.018;0.031;0.119
16.2;0.01776;0.03095;0.1188
16.4;0.01744;0.0309;0.1188
16.6;0.01712;0.03075;0.1186
16.8;0.0168;0.0305;0.1184
17;0.01648;0.03025;0.1184
17.2;0.01608;0.03245;0.1182
17.4;0.01728;0.0411;0.118
17.6;0.02288;0.05065;0.118
17.8;0.02936;0.06065;0.1178
18;0.03664;0.07065;0.1176
18.2;0.04448;0.08005;0.1174
18.4;0.05256;0.08825;0.1174
18.6;0.0604;0.0946;0.1172
18.8;0.06752;0.0986;0.117
19;0.07336;0.1;0.1168
19.2;0.07752;0.0986;0.1166
19.4;0.07976;0.0946;0.1164
19.6;0.07976;0.08825;0.1162
19.8;0.07752;0.08005;0.116
20;0.07336;0.07065;0.1124
20.2;0.06752;0.06065;0.1092
20.4;0.0604;0.05065;0.1048
20.6;0.05256;0.0411;0.0998
20.8;0.04448;0.03245;0.094
21;0.03664;0.02495;0.0876
21.2;0.02936;0.01865;0.0808
21.4;0.02288;0.0151;0.0738
21.6;0.01728;0.0143;0.0668
21.8;0.01272;0.0135;0.0598
22;0.00912;0.01275;0.0532
22.2;0.008;0.012;0.0466
22.4;0.008;0.0113;0.0406
22.6;0.008;0.01055;0.0348
22.8;0.008;0.0099;0.0298
23;0.008;0.00925;0.025
23.2;0.008;0.0086;0.021
23.4;0.008;0.008;0.02
23.6;0.008;0.00745;0.02
23.8;0.008;0.0069;0.02
